nsites,Chemsys,material_id,ordering,total_magnetization,total_magnetization_normalized_vol,total_magnetization_normalized_atoms,formation_energy_per_atom,energy_above_hull
18,Ba-S-U,mp-1190025,FM,3.9999998,0.008376788,0.222222211,-1.780535586,0
28,Ba-O-V,mp-19096,FM,3.9999997,0.008139304,0.142857132,-2.930773886,0
90,Ba-O-Rh,mp-758025,FiM,7.4243789,0.006660772,0.082493099,-1.501043312,0
26,Ba-Cr-O,mp-1281162,FM,3.9612365,0.009266048,0.15235525,-2.629597845,0
26,Ba-Cr-O,mp-2760769,FM,4,0.009688883,0.153846154,-2.687984966,0
14,Ba-Fe-N,mp-8306,FM,4.0127364,0.012515878,0.286624029,-0.711653333,0
14,Ba-Ir-N,mp-1029626,AFM,3.35E-05,1.03E-07,0.00000239,-0.577124751,0
26,Ba-Mn-O,mp-19188,FM,7.9999998,0.019548285,0.3076923,-2.427450099,0
14,Ba-Mn-N,mp-9324,FM,1.6893825,0.005239479,0.120670179,-0.811151963,0
14,Ba-N-Os,mp-1029640,FM,3.8246451,0.011509287,0.273188936,-0.639653886,0
14,Ba-O-Re,mp-38972,FM,1.9988966,0.010038884,0.142778329,-2.686587441,0
14,Ba-N-Ru,mp-1029537,FM,3.9851429,0.012027893,0.284653064,-0.608902529,0
14,Al-O-V,mp-1281387,FiM,0.0001506,1.02E-06,0.0000108,-2.764986321,0
28,Al-O-V,mp-2767452,FiM,4.5511387,0.016194365,0.162540668,-2.83716957,0
8,Al-V,mp-1387,FM,3.8461597,0.035005945,0.480769963,-0.169027859,0
8,Al-Ga-V,mp-1228807,FM,3.3323557,0.030604137,0.416544463,-0.200362603,0
8,Al-Ge-V,mp-1228829,FM,2.7795836,0.025730432,0.34744795,-0.235885369,0
24,Al-Au-V,mp-1228971,FiM,6.829549,0.020077346,0.284564542,-0.133480057,0
4,Al-Co-V,mp-4955,FM,2.0007333,0.042758923,0.500183325,-0.447939702,0
9,As-O-Pd,mp-6915,FM,2,0.021016471,0.222222222,-1.111912006,0
9,Au-F-O,mp-990238,FM,1.0000001,0.008480249,0.111111122,-0.686399234,0
22,Au-F,mp-17407,FM,2,0.006251638,0.090909091,-1.089517318,0
5,As-Ba-Co,mp-20563,FM,1.3074383,0.013176414,0.26148766,-0.601723693,0
27,Ba-Cr-S,mp-1229162,FiM,5.9999998,0.011682181,0.222222215,-1.131985319,0
10,As-Ba-Fe,mp-2903350,AFM,2.18E-05,1.01E-07,0.00000218,-0.651923142,0
88,Ba-Br-Fe,mp-568396,FM,79.9948207,0.02313202,0.909032053,-1.379873225,0
28,Ba-Fe-O,mp-19154,FM,40.0000002,0.090424717,1.428571436,-2.089097836,0
17,Ba-Fe-Sb,mp-1189647,FM,1.9140947,0.004841618,0.112593806,-0.314835967,0
28,Ba-Gd-Se,mp-1194410,AFM,5.00E-07,5.97E-10,0.0000000179,-2.254198866,0
28,Ba-Gd-Te,mp-1182773,AFM,8.00E-07,7.77E-10,0.0000000286,-1.809475183,0
